spp_gp,across_stage_dependent_habitats_condition,adult_body_mass_body_size,adult_mobility,age_to_1st_reproduction_generation_time,air_sea_interface,are_there_sub_populations_reproduct,biomass_removal_sensitivity_trait,biomineral,calcium_carbonate_structure_location,calcium_carbonate_structure_stages,can_the_sex_ratio_be_altered_by_temperature,communication_requirement_sound,dependent_interspecific_interactions,depth_min_max,dissolved_oxygen,eoo_range,extreme_diet_specialization,extreme_pressure_wave_sensitive_structures,fecundity,feeding_larva_post_hatching_metamorphosis,flight,global_population_size,habitat_forming,lifetime_reproductive_opportunities,max_age,navigation_requirements_light,navigation_requirements_magnetic,navigation_requirements_sound,number_of_sites_breeding,number_of_sites_incl_terrestrial_wetlands,parental_investment,ph,photosynthetic,planktonic_larval_duration_pld_exposure,post_birth_hatching_parental_dependence,reproductive_strategy,respiration_structures,salinity,sensitivity_to_wave_energy_physical_forcing,sst_rise_sensitivity_trait,sub_pop_dependence_breeding,sub_pop_dependence_foraging,terrestrial_and_marine_life_stages,thermal_sensitivity_to_heat_spikes_heat_waves,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,thermal_tolerance_range,within_stage_dependent_habitats_condition,zone
alopias pelagicus,deep water - pelagic - surface water,>1000mm - 50mm-999mm,nomadic,5-10yrs - 10-20yrs,no,no,sensitive,NA,none,none,no,no,no,epipelagic,high tolerance,>20000,generalist,medium,1-2 - 2-5,na,no,NA,no,2-10,10-20yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,deep water - pelagic - surface water,neritic - oceanic
alopias superciliosus,deep water - pelagic - surface water,>1000mm - 50mm-999mm,nomadic,10-20yrs - 5-10yrs,no,no,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,medium,1-2 - 2-5,na,no,NA,no,2-10,10-20yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,deep water - pelagic - surface water,neritic - oceanic
alopias vulpinus,deep water - pelagic - surface water,>1000mm - 50mm-999mm,nomadic,5-10yrs - 1-5yrs - 10-20yrs,no,no,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic,high tolerance,>20000,generalist,medium,1-2 - 2-5,na,no,NA,no,2-10,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,deep water - pelagic - surface water,neritic - oceanic
arctocephalus,surface water - continental shelf - rocky intertidal - sea ice edge,>1000mm,mobile resident,1-5yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - air,air breathers,<99,generalist,low,<1,no larva,no,10k-100k - 100k-1m - >1m,no,11-25,20-100yrs,NA,NA,NA,many,many,live birth/egg care,7.8-8.2,no,not larvae,month-year,sexual dioecious,lungs,na,not sensitive,sensitive,yes,no,yes,yes,30c,>15c - 0-2.5c - 10-15c - 2.5-5c - 5-7.5c,rocky intertidal - other - sea ice edge,neritic - oceanic - intertidal
balaenoptera acutorostrata,surface water - coastal - other,>1000mm - 50mm-999mm,mobile resident - vertical migrator,5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,NA,air breathers,>20000,NA,NA,<1,na,no,100k-1m,no,11-25,20-100yrs,NA,NA,yes,many,many,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,yes,yes,no,no,NA,>15c,surface water - coastal - other,neritic
balaenoptera borealis,surface water,>1000mm,vertical migrator,>20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,mesopelagic,air breathers,>20000,generalist,NA,<1,na,no,10k-100k,no,11-25,20-100yrs,NA,NA,yes,few - many,few - many,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,NA,na,sensitive,yes,yes,no,NA,20c,>15c,surface water,neritic - oceanic
balaenoptera edeni,surface water - deep water - coastal,>1000mm,mobile resident - vertical migrator,10-20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,mesopelagic,air breathers,>20000,generalist,NA,<1,na,no,NA,no,11-25,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,yes,20c,7.5-10c,surface water - deep water - coastal,neritic - oceanic
balaenoptera musculus,surface water,>1000mm,vertical migrator,1-5yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic - mesopelagic,air breathers,>20000,specialist,NA,<1,na,no,10k-100k,no,26-50,>100yrs,NA,NA,yes,many,many,live birth/egg care,<7.4,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,yes,yes,no,no,NA,>15c,surface water,neritic - oceanic
balaenoptera physalus,deep water - surface water - continental shelf - coastal,>1000mm,mobile resident - vertical migrator,5-10yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic - bathypelagic,air breathers,>20000,generalist,NA,<1,na,no,10k-100k,no,26-50,>100yrs,NA,NA,yes,many,many,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,yes,yes,no,NA,NA,>15c,deep water - surface water - continental shelf - coastal,neritic - oceanic
berardius bairdii,surface water - deep water - coastal,>1000mm,vertical migrator,5-10yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,bathypelagic,air breathers,>20000,specialist,NA,<1,na,no,NA,no,11-25,20-100yrs,NA,NA,yes,NA,NA,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,NA,NA,>15c,surface water - deep water - coastal,neritic - oceanic
beringraja,deep water - deep soft bottom - soft slope - hard slope - rocky intertidal - rocky reef - hard shelf - soft shelf,50mm-999mm - >1000mm,mobile resident,5-10yrs,no,NA,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic - bathypelagic - abyssopelagic,high tolerance,>20000,generalist,NA,50-100 - 100-1000,na,no,NA,no,NA,NA,NA,NA,NA,NA,does not aggregate,egg-layer unattended,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,0-2.5c - 10-15c - 5-7.5c - 7.5-10c,deep water - deep soft bottom - soft slope - hard slope - rocky intertidal - rocky reef - hard shelf - soft shelf,demersal
carcharhinus leucas,mangrove - beach - intertidal mud - rocky intertidal,>1000mm - 50mm-999mm,horizontal migrator,10-20yrs - 5-10yrs - >20yrs - 1-5yrs,no,yes,sensitive,NA,none,none,no,no,no,epipelagic - air,medium tolerance,>20000,generalist,medium,5-10 - 10-20,no larva,no,NA,no,26-50,10-20yrs - 20-100yrs,NA,NA,NA,many,many,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,euryhaline,na,sensitive,yes,yes,yes,no,30c,5-7.5c,mangrove - beach - intertidal mud - rocky intertidal,intertidal - neritic
carcharodon carcharias,pelagic - surface water - rocky reef - soft slope - hard slope,>1000mm - 50mm-999mm,mobile resident - horizontal migrator,10-20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,no,no,no,epipelagic - mesopelagic - bathypelagic,high tolerance,>20000,generalist,medium,<1 - 1-2 - 2-5 - 10-20,na,no,10k-100k,no,2-10,20-100yrs,NA,NA,NA,few,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,pelagic - surface water - rocky reef - soft slope - hard slope,neritic - oceanic
caretta caretta,surface water - deep water - beach - continental shelf,50mm-999mm,NA,>20yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,yes,no,no,epipelagic - air,air breathers,>20000,generalist,NA,100-1000,no larva,no,1k-10k - 10k-100k,no,26-50,20-100yrs,yes,yes,NA,many,does not aggregate,egg-layer,<7.4,no,not larvae,na,sexual dioecious,lungs,na,not sensitive,sensitive,yes,no,yes,no,30c,10-15c,surface water - deep water - beach - continental shelf,neritic - oceanic
cetorhinus maximus,deep water - pelagic - surface water,>1000mm - 50mm-999mm,mobile resident - vertical migrator,5-10yrs - 10-20yrs - 1-5yrs,yes,NA,sensitive,NA,none,none,no,no,yes,epipelagic - mesopelagic - bathypelagic,high tolerance,>20000,specialist,medium,2-5,na,no,1k-10k - 10k-100k,no,11-25,20-100yrs,NA,NA,NA,few,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,10-15c,deep water - pelagic - surface water,neritic - oceanic
delphinapterus leucas,surface water - deep water - sea ice edge - estuary - other,>1000mm - 50mm-999mm,vertical migrator - horizontal migrator - mobile resident,5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic - mesopelagic,air breathers,>20000,generalist,NA,<1,na,no,100k-1m,no,2-10,20-100yrs,NA,NA,yes,many,many,live birth/egg care,NA,NA,not larvae,NA,sexual dioecious,lungs,euryhaline,na,sensitive,yes,yes,no,yes,15c,7.5-10c,surface water - deep water - sea ice edge - estuary - other,neritic - oceanic - benthic
dermochelys coriacea,surface water - deep water - beach - continental shelf,>1000mm - 50mm-999mm,nomadic,10-20yrs - 1-5yrs,yes,yes,sensitive,NA,none,none,yes,no,no,epipelagic - air,air breathers,>20000,generalist,NA,100-1000,no larva,no,1k-10k - 10k-100k,no,26-50,20-100yrs,yes,yes,NA,many,does not aggregate,egg-layer,<7.4,no,not larvae,na,sexual dioecious,lungs,na,not sensitive,sensitive,yes,no,yes,no,30c,10-15c,surface water - deep water - beach - continental shelf,neritic - oceanic
dosidicus gigas,deep water - surface water,>1000mm - 50mm-999mm,horizontal migrator,<1yr,yes,no,sensitive,aragonite,internal,both,no,no,no,epipelagic - mesopelagic - bathypelagic,high tolerance,>20000,generalist,high,>10000,feeding non-calcifier,no,>1m,no,1,1-5yrs,NA,NA,NA,few,does not aggregate,spawner,7.8-8.2,no,<4months,na,sexual dioecious,gills,stenohaline,na,sensitive,no,NA,no,no,25c,>15c,deep water - surface water,oceanic - neritic
enhydra lutris,surface water - deep water,>1000mm - 50mm-999mm,mobile resident,1-5yrs,yes,yes,sensitive,other,none,none,NA,yes,no,epipelagic,air breathers,>20000,NA,low,<1,na,no,100k-1m - >1m,no,11-25,10-20yrs,yes,NA,NA,few,does not aggregate,live birth/egg care,NA,no,not larvae,>year,sexual dioecious,lungs,na,na,sensitive,NA,NA,no,no,30c,7.5-10c,surface water - deep water,neritic
enteroctopus dofleini,subtidal soft bottom - hard slope - soft slope - surface water - hard shelf - soft shelf,50mm-999mm,mobile resident,1-5yrs,no,no,sensitive,aragonite,external with a cover,adult,no,no,no,epipelagic - mesopelagic - bathypelagic,low tolerance,>20000,generalist,high,>10000,feeding non-calcifier,no,>1m,no,1,1-5yrs,NA,NA,NA,does not aggregate,does not aggregate,live birth/egg care,7.8-8.2,no,<4months,na,sexual dioecious,gills,stenohaline,na,sensitive,NA,NA,no,yes,5c,7.5-10c,subtidal soft bottom - hard slope - soft slope - surface water - hard shelf - soft shelf,neritic - benthic
eretmochelys imbricata,coral reef - surface water - beach - continental shelf,50mm-999mm,NA,>20yrs - 1-5yrs,yes,yes,sensitive,NA,none,none,yes,no,no,epipelagic - air,air breathers,>20000,specialist,NA,100-1000,no larva,no,1k-10k - 10k-100k,no,51-100,20-100yrs,yes,yes,NA,many,does not aggregate,egg-layer,<7.4,no,not larvae,na,sexual dioecious,lungs,na,not sensitive,sensitive,yes,no,yes,no,30c,5-7.5c,coral reef - surface water - beach - continental shelf,neritic - oceanic - benthic
eschrichtius robustus,surface water - deep soft bottom - soft shelf,>1000mm,vertical migrator,>20yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic,air breathers,>20000,generalist,NA,<1,na,no,10k-100k,no,11-25,20-100yrs,NA,NA,yes,many,NA,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,NA,NA,no,no,20c,>15c,surface water - deep soft bottom - soft shelf,benthic - neritic
eubalaena japonica,deep water - surface water - continental shelf - coastal,>1000mm,NA,10-20yrs - 5-10yrs,yes,yes,sensitive,NA,none,none,NA,yes,NA,epipelagic,air breathers,>20000,specialist,NA,<1,na,no,1k-10k,no,11-25,20-100yrs,NA,NA,yes,NA,few,live birth/egg care,NA,NA,not larvae,month-year,sexual dioecious,lungs,stenohaline,na,sensitive,NA,yes,no,NA,NA,7.5-10c,coastal,neritic - oceanic
feresa attenuata,deep water - surface water,>1000mm - 50mm-999mm,mobile resident,NA,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - bathypelagic - abyssopelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,10k-100k,no,NA,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,NA,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,30c,7.5-10c,deep water - surface water,neritic - oceanic
galeocerdo cuvier,coral reef - beach - seagrass - mangrove - rocky reef,>1000mm - 50mm-999mm,mobile resident - horizontal migrator,5-10yrs - 1-5yrs - 10-20yrs,no,yes,sensitive,NA,none,none,no,no,no,epipelagic,high tolerance,>20000,generalist,low,20-50 - 50-100,na,no,NA,no,11-25,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,5-7.5c,coral reef - beach - seagrass - mangrove - rocky reef,demersal - neritic - oceanic
ginglymostoma cirratum,coral reef - beach - rocky intertidal - seagrass - mangrove,>1000mm - 50mm-999mm,mobile resident,10-20yrs,no,yes,sensitive,NA,none,none,no,no,no,epipelagic,high tolerance,>20000,generalist,low,10-20 - 20-50,na,no,NA,no,2-10 - 11-25,20-100yrs,NA,NA,NA,NA,does not aggregate,live birth/egg care,<7.4,no,not larvae,na,sexual dioecious,gills,stenohaline,not sensitive,sensitive,NA,NA,no,no,NA,2.5-5c,coral reef - beach - rocky intertidal - seagrass - mangrove,benthic
grampus griseus,deep water - surface water - soft slope - continental shelf,>1000mm - 50mm-999mm,mobile resident,5-10yrs - 10-20yrs,yes,yes,sensitive,NA,none,none,no,yes,no,epipelagic - mesopelagic - bathypelagic,air breathers,<99 - >20000,generalist,low,<1,no larva,no,100k-1m,no,11-25,20-100yrs,yes,NA,yes,many,many,live birth/egg care,7.8-8.2,no,not larvae,>year,sexual dioecious,lungs,na,not sensitive,sensitive,no,NA,no,NA,20c,>15c,deep water - surface water - soft slope - continental shelf,neritic - oceanic
